hyperlink,source_page_id,title
/wiki/Carbon_Arc_Welding,0,Carbon arc welding
/wiki/Flux_Cored_Arc_Welding,0,Flux cored arc welding
/wiki/Gas_Metal_Arc_Welding,0,Gas metal arc welding
/wiki/Shielding_gas,0,Shielding gas
/wiki/Gas_Tungsten_Arc_Welding,0,Gas tungsten arc welding
/wiki/Plasma_Arc_Welding,0,Plasma arc welding
/wiki/Shielded_Metal_Arc_Welding,0,Shielded metal arc welding
/wiki/Submerged_Arc_Welding,0,Submerged arc welding
/wiki/Atomic_Hydrogen_Welding,0,Atomic hydrogen welding
/wiki/Oxyacetylene_welding,0,Oxyacetylene welding
/wiki/Propane,0,Propane
/wiki/Oxyhydrogen_welding,0,Oxyhydrogen welding
/wiki/Pressure_gas_welding,0,Pressure gas welding
/wiki/Spot_welding,0,Spot welding
/wiki/Resistance_seam_welding,0,Resistance seam welding
/wiki/Drum_(container),0,Drum (container)
/wiki/Projection_welding,0,Projection welding
/wiki/Flash_welding,0,Flash welding
/wiki/Upset_welding,0,Upset welding
/wiki/Cold_welding,0,Cold welding
/wiki/Diffusion_welding,0,Diffusion welding
/wiki/Explosion_welding,0,Explosion welding
/wiki/Magnetic_pulse_welding,0,Magnetic pulse welding
/wiki/Forge_welding,0,Forge welding
/wiki/Damascus_steel,0,Damascus steel
/wiki/Friction_welding,0,Friction welding
/wiki/Friction_stir_welding,0,Friction stir welding
/wiki/Friction_stir_spot_welding,0,Friction stir spot welding
/wiki/Hot_isostatic_pressing,0,Hot isostatic pressing
/wiki/Autoclave,0,Autoclave
/wiki/Ultrasonic_welding,0,Ultrasonic welding
/wiki/Electron_beam_welding,0,Electron beam welding
/wiki/Electroslag_welding,0,Electroslag welding
/wiki/Induction_welding,0,Induction welding
/wiki/Laser_beam_welding,0,Laser beam welding
/wiki/Laser-hybrid_welding,0,Laser-hybrid welding
/wiki/Gas_metal_arc_welding,0,Gas metal arc welding
/wiki/Percussion_welding,0,Percussion welding
